model,target,rmse,r2,rmse_normalized
LinearRegression,CO(GT),0.7049821421333482,0.7394365142235059,0.3722835498592725
LinearRegression,NOx(GT),103.83344243803955,0.7523913335327004,0.3457027379380683
LinearRegression,NO2(GT),39.622658982616855,0.4602106607897153,0.2779485110805204
LinearRegression,C6H6(GT),1.6624867524737124,0.9336457314305872,0.20855378908108074
RandomForest,CO(GT),0.7250799357695108,0.724368341274627,0.38289669523139236
RandomForest,NOx(GT),104.19354527901062,0.7506709013257101,0.34690166320857796
RandomForest,NO2(GT),38.93899677786864,0.47867735972950265,0.27315269735244224
RandomForest,C6H6(GT),0.15075462879439358,0.999454375590594,0.018911699001390826
XGBoost,CO(GT),0.7394285213648372,0.7133514693603566,0.39047382670981967
XGBoost,NOx(GT),88.72374636864392,0.8192113843405915,0.2953965631840228
XGBoost,NO2(GT),38.43292390528906,0.4921401011935186,0.26960265288184154
XGBoost,C6H6(GT),0.21565360372037887,0.9988834815103145,0.02705307342627142
NeuralNetwork,CO(GT),0.7019021058503325,0.7417083216929496,0.37065705923971354
NeuralNetwork,NOx(GT),80.29306789774932,0.8519366947056906,0.26732748869674516
NeuralNetwork,NO2(GT),37.43197401929735,0.518249103823257,0.2625811016376489
NeuralNetwork,C6H6(GT),1.1466404614430126,0.9684349119655428,0.14384247729601107
